TITLE = "Cavity Iterative Residual History"
variables="Iteration""Time(s)""Res1""Res2""Res3"
1 3.814697e-05 7.111889e-01 5.637797e+02 1.838554e-01
10 3.814697e-04 4.324755e+00 9.820774e+01 1.664200e+00
20 7.629395e-04 5.218582e+00 5.692361e+01 2.706549e+00
30 1.144409e-03 5.228962e+00 4.130558e+01 2.978102e+00
40 1.525879e-03 5.059870e+00 3.281561e+01 2.990231e+00
50 1.907349e-03 4.865785e+00 2.739042e+01 2.945833e+00
60 2.288818e-03 4.680300e+00 2.358573e+01 2.909936e+00
70 2.670288e-03 4.515309e+00 2.074996e+01 2.895854e+00
80 3.051758e-03 4.370946e+00 1.854294e+01 2.901083e+00
90 3.433228e-03 4.244803e+00 1.676885e+01 2.919666e+00
100 3.814697e-03 4.133798e+00 1.530645e+01 2.946071e+00
110 4.196167e-03 4.034472e+00 1.407659e+01 2.976289e+00
120 4.577637e-03 3.943023e+00 1.302503e+01 3.007362e+00
130 4.959106e-03 3.858516e+00 1.211349e+01 3.037857e+00
140 5.340576e-03 3.781008e+00 1.131405e+01 3.067380e+00
150 5.722046e-03 3.709038e+00 1.060588e+01 3.095744e+00
160 6.103516e-03 3.642986e+00 9.973199e+00 3.122871e+00
170 6.484985e-03 3.581940e+00 9.403758e+00 3.148789e+00
180 6.866455e-03 3.524371e+00 8.887555e+00 3.173557e+00
190 7.247925e-03 3.469828e+00 8.416680e+00 3.197317e+00
200 7.629395e-03 3.417762e+00 7.984752e+00 3.220133e+00
210 8.010864e-03 3.369082e+00 7.586597e+00 3.242146e+00
220 8.392334e-03 3.322261e+00 7.217902e+00 3.263415e+00
230 8.773804e-03 3.277130e+00 6.874971e+00 3.283939e+00
240 9.155273e-03 3.233447e+00 6.554707e+00 3.303766e+00
250 9.536743e-03 3.191037e+00 6.254500e+00 3.322928e+00
260 9.918213e-03 3.150228e+00 5.972134e+00 3.341501e+00
270 1.029968e-02 3.110831e+00 5.705709e+00 3.359569e+00
280 1.068115e-02 3.072737e+00 5.453559e+00 3.377163e+00
290 1.106262e-02 3.035618e+00 5.214216e+00 3.394314e+00
300 1.144409e-02 2.999495e+00 4.986390e+00 3.411032e+00
310 1.182556e-02 2.964637e+00 4.768972e+00 3.427368e+00
320 1.220703e-02 2.931131e+00 4.561009e+00 3.443393e+00
330 1.258850e-02 2.898259e+00 4.361674e+00 3.459117e+00
340 1.296997e-02 2.866124e+00 4.170219e+00 3.474500e+00
350 1.335144e-02 2.834888e+00 3.985998e+00 3.489553e+00
360 1.373291e-02 2.804449e+00 3.808492e+00 3.504315e+00
370 1.411438e-02 2.774774e+00 3.637330e+00 3.518762e+00
380 1.449585e-02 2.745666e+00 3.472209e+00 3.532873e+00
390 1.487732e-02 2.716749e+00 3.312874e+00 3.546609e+00
400 1.525879e-02 2.688364e+00 3.159197e+00 3.559926e+00
410 1.564026e-02 2.660378e+00 3.011208e+00 3.572834e+00
420 1.602173e-02 2.632472e+00 2.868989e+00 3.585292e+00
430 1.640320e-02 2.604813e+00 2.732732e+00 3.597260e+00
440 1.678467e-02 2.577134e+00 2.602729e+00 3.608726e+00
450 1.716614e-02 2.549693e+00 2.479365e+00 3.619662e+00
460 1.754761e-02 2.522191e+00 2.363108e+00 3.630070e+00
470 1.792908e-02 2.494573e+00 2.254488e+00 3.639941e+00
480 1.831055e-02 2.466899e+00 2.154072e+00 3.649270e+00
490 1.869202e-02 2.438931e+00 2.062483e+00 3.658075e+00
500 1.907349e-02 2.410865e+00 1.980358e+00 3.666358e+00
510 1.945496e-02 2.382609e+00 1.908337e+00 3.674144e+00
520 1.983643e-02 2.353964e+00 1.846935e+00 3.681452e+00
530 2.021790e-02 2.325094e+00 1.796561e+00 3.688302e+00
540 2.059937e-02 2.295913e+00 1.757481e+00 3.694731e+00
550 2.098083e-02 2.266445e+00 1.729733e+00 3.700770e+00
560 2.136230e-02 2.236828e+00 1.713140e+00 3.706454e+00
570 2.174377e-02 2.206940e+00 1.707307e+00 3.711824e+00
580 2.212524e-02 2.176836e+00 1.711595e+00 3.716908e+00
590 2.250671e-02 2.146530e+00 1.725194e+00 3.721739e+00
600 2.288818e-02 2.116086e+00 1.747158e+00 3.726349e+00
610 2.326965e-02 2.085617e+00 1.776489e+00 3.730774e+00
620 2.365112e-02 2.055104e+00 1.812157e+00 3.735043e+00
630 2.403259e-02 2.024617e+00 1.853168e+00 3.739180e+00
640 2.441406e-02 1.994182e+00 1.898559e+00 3.743206e+00
650 2.479553e-02 1.963810e+00 1.947432e+00 3.747130e+00
660 2.517700e-02 1.933885e+00 1.998990e+00 3.750974e+00
670 2.555847e-02 1.904302e+00 2.052546e+00 3.754773e+00
680 2.593994e-02 1.875124e+00 2.107475e+00 3.758535e+00
690 2.632141e-02 1.846391e+00 2.163239e+00 3.762266e+00
700 2.670288e-02 1.818211e+00 2.219367e+00 3.765968e+00
710 2.708435e-02 1.790727e+00 2.275460e+00 3.769641e+00
720 2.746582e-02 1.764090e+00 2.331191e+00 3.773298e+00
730 2.784729e-02 1.738274e+00 2.386283e+00 3.776946e+00
740 2.822876e-02 1.713337e+00 2.440504e+00 3.780581e+00
750 2.861023e-02 1.689249e+00 2.493652e+00 3.784193e+00
760 2.899170e-02 1.666188e+00 2.545562e+00 3.787776e+00
770 2.937317e-02 1.644120e+00 2.596110e+00 3.791330e+00
780 2.975464e-02 1.623056e+00 2.645196e+00 3.794845e+00
790 3.013611e-02 1.602928e+00 2.692739e+00 3.798311e+00
