7.70E-05,0.00016058,0.000247209,0.000299723,0.000335835,0.000360871,0.00037806,0.000389948,0.000398405,0.000404561,0.000409132,0.000412568,0.00041516,0.000417102,0.000418526,0.00041952,0.000420147,0.000420446,0.000420436,0.000420122,0.000419484,0.00041848,0.000417018,0.000414965,0.000412015,0.000407808,0.000401204,0.000391232,0.000374373,0.000351163,0.000295394,0.000201566,0.000195913
-0.000693525,-0.000617907,-0.000539261,-0.000493874,-0.000462656,-0.000440244,-0.000424302,-0.000412897,-0.000404575,-0.000398412,-0.0003938,-0.000390339,-0.000387758,-0.000385872,-0.000384552,-0.000383709,-0.000383283,-0.000383236,-0.00038355,-0.000384225,-0.000385286,-0.000386782,-0.00038881,-0.000391512,-0.000395167,-0.000400136,-0.000407302,-0.00041762,-0.000433363,-0.000454437,-0.000500025,-0.000587414,-0.000586622
-0.000260937,-0.000193301,-0.000122636,-8.44E-05,-5.80E-05,-3.82E-05,-2.35E-05,-1.26E-05,-4.35E-06,1.87E-06,6.59E-06,1.01E-05,1.28E-05,1.47E-05,1.61E-05,1.69E-05,1.73E-05,1.73E-05,1.69E-05,1.61E-05,1.48E-05,1.31E-05,1.08E-05,7.83E-06,3.85E-06,-1.48E-06,-8.77E-06,-1.90E-05,-3.31E-05,-5.15E-05,-8.63E-05,-0.000166615,-0.000158709
1.49E-05,9.48E-07,-9.93E-06,1.59E-06,1.63E-05,2.94E-05,4.04E-05,4.94E-05,5.67E-05,6.25E-05,6.71E-05,7.08E-05,7.37E-05,7.61E-05,7.78E-05,7.92E-05,8.01E-05,8.07E-05,8.09E-05,8.08E-05,8.04E-05,7.95E-05,7.81E-05,7.61E-05,7.34E-05,6.96E-05,6.47E-05,5.81E-05,5.02E-05,4.24E-05,3.26E-05,2.05E-05,9.68E-05
4.24E-06,-5.13E-06,-1.15E-05,-8.36E-06,-1.17E-06,6.68E-06,1.42E-05,2.09E-05,2.67E-05,3.16E-05,3.56E-05,3.89E-05,4.16E-05,4.38E-05,4.55E-05,4.68E-05,4.78E-05,4.84E-05,4.87E-05,4.87E-05,4.84E-05,4.77E-05,4.66E-05,4.50E-05,4.30E-05,4.03E-05,3.71E-05,3.33E-05,2.96E-05,2.83E-05,2.61E-05,1.02E-05,8.28E-05
2.54E-05,1.24E-05,2.57E-06,1.65E-06,4.64E-06,9.04E-06,1.39E-05,1.87E-05,2.30E-05,2.69E-05,3.02E-05,3.30E-05,3.53E-05,3.72E-05,3.87E-05,3.99E-05,4.08E-05,4.13E-05,4.16E-05,4.16E-05,4.13E-05,4.07E-05,3.98E-05,3.86E-05,3.71E-05,3.53E-05,3.34E-05,3.14E-05,3.01E-05,3.19E-05,3.27E-05,1.85E-05,9.33E-05
3.27E-05,2.30E-05,1.65E-05,1.42E-05,1.48E-05,1.70E-05,1.99E-05,2.30E-05,2.62E-05,2.91E-05,3.17E-05,3.40E-05,3.60E-05,3.76E-05,3.90E-05,4.00E-05,4.08E-05,4.14E-05,4.17E-05,4.18E-05,4.16E-05,4.12E-05,4.07E-05,3.99E-05,3.90E-05,3.80E-05,3.71E-05,3.64E-05,3.67E-05,3.99E-05,4.14E-05,2.32E-05,9.46E-05
4.01E-05,3.08E-05,2.47E-05,2.17E-05,2.09E-05,2.15E-05,2.30E-05,2.49E-05,2.71E-05,2.92E-05,3.12E-05,3.30E-05,3.46E-05,3.59E-05,3.71E-05,3.80E-05,3.87E-05,3.92E-05,3.96E-05,3.97E-05,3.97E-05,3.96E-05,3.93E-05,3.89E-05,3.85E-05,3.81E-05,3.80E-05,3.81E-05,3.93E-05,4.33E-05,4.50E-05,2.53E-05,9.63E-05
4.14E-05,3.36E-05,2.90E-05,2.59E-05,2.44E-05,2.41E-05,2.46E-05,2.56E-05,2.69E-05,2.84E-05,2.98E-05,3.11E-05,3.24E-05,3.35E-05,3.44E-05,3.52E-05,3.58E-05,3.63E-05,3.66E-05,3.68E-05,3.69E-05,3.69E-05,3.69E-05,3.68E-05,3.67E-05,3.68E-05,3.71E-05,3.78E-05,3.93E-05,4.35E-05,4.49E-05,2.29E-05,9.27E-05
4.21E-05,3.51E-05,3.13E-05,2.82E-05,2.63E-05,2.54E-05,2.53E-05,2.57E-05,2.63E-05,2.72E-05,2.81E-05,2.91E-05,3.00E-05,3.08E-05,3.16E-05,3.22E-05,3.27E-05,3.31E-05,3.35E-05,3.37E-05,3.39E-05,3.40E-05,3.41E-05,3.42E-05,3.44E-05,3.48E-05,3.54E-05,3.63E-05,3.80E-05,4.21E-05,4.30E-05,1.94E-05,8.90E-05
